0,-0.031,-0.031,0.9666,1.0000e-04,0.0001,0.0001,1
1,0.1331,0.051,0.9667,1.0000e-04,0.0002,0.0002,0.83
2,-0.2369,-0.0449,0.7752,1.0000e-04,0.0006,0.0003,0.6889
3,-0.0485,-0.0458,0.9673,1.0000e-04,0.0004,0.0003,0.5718
4,-0.0749,-0.0516,0.8867,1.0000e-04,0.0010,0.0005,0.4746
5,-0.2706,-0.0881,0.6167,1.0000e-04,0.0002,0.0004,0.3939
6,0.1187,-0.0586,1.0137,1.0000e-04,0.0003,0.0004,0.3269
7,-0.2736,-0.0855,0.6964,1.0000e-04,0.0002,0.0004,0.2713
8,0.3423,-0.0379,1.2500,1.0000e-04,0.0002,0.0004,0.2252
9,0.0347,-0.0307,1.0561,1.0000e-04,0.0005,0.0004,0.1869
10,-0.2402,-0.0497,0.8428,9.0000e-05,0.0002,0.0004,0.1551
11,-0.1194,-0.0555,0.8888,9.0000e-05,0.0002,0.0003,0.1287
12,-0.2807,-0.0728,0.8279,9.0000e-05,0.0002,0.0003,0.1068
13,-0.1121,-0.0757,0.9420,9.0000e-05,0.0002,0.0003,0.0886
14,-0.2533,-0.0875,0.7757,9.0000e-05,0.0004,0.0003,0.0735
15,-0.1553,-0.0917,0.8773,9.0000e-05,0.0002,0.0003,0.061
16,-0.5103,-0.1164,0.5967,9.0000e-05,0.0006,0.0003,0.0506
17,-0.3697,-0.1304,0.6875,9.0000e-05,0.0002,0.0003,0.0486
18,-0.1627,-0.1321,0.8614,9.0000e-05,0.0002,0.0003,0.0467
19,-0.3882,-0.1449,0.6475,9.0000e-05,0.0004,0.0003,0.0448
20,-0.0428,-0.1401,0.9468,8.1000e-05,0.0002,0.0003,0.043
21,-0.1431,-0.1402,0.8400,8.1000e-05,0.0001,0.0003,0.0413
22,0.2298,-0.1241,1.0950,8.1000e-05,0.0001,0.0003,0.0396
23,-0.3607,-0.134,0.7294,8.1000e-05,0.0004,0.0003,0.038
24,-0.536,-0.1501,0.5678,8.1000e-05,0.0007,0.0003,0.0365
25,-0.3834,-0.1642,0.7234,8.1000e-05,0.0006,0.0003,0.035
26,-0.0969,-0.1734,0.9040,8.1000e-05,0.0003,0.0003,0.0336
27,-0.1355,-0.1693,0.8607,8.1000e-05,0.0001,0.0003,0.0323
28,-0.1736,-0.1743,0.9753,8.1000e-05,0.0002,0.0003,0.031
29,-0.5353,-0.1927,0.5068,8.1000e-05,0.0005,0.0003,0.0298
30,-0.0392,-0.1835,0.9368,7.2900e-05,0.0010,0.0003,0.0286
31,-0.3855,-0.2036,0.6532,7.2900e-05,0.0001,0.0003,0.0275
32,-0.0129,-0.1932,0.9093,7.2900e-05,0.0001,0.0003,0.0264
33,-0.1098,-0.2113,0.8777,7.2900e-05,0.0003,0.0003,0.0253
34,-0.2749,-0.2237,0.7847,7.2900e-05,0.0003,0.0003,0.0243
35,-0.4293,-0.2312,0.6066,7.2900e-05,0.0002,0.0003,0.0233
36,-0.0786,-0.2296,0.9071,7.2900e-05,0.0004,0.0003,0.0224
37,-0.2311,-0.2276,0.7955,7.2900e-05,0.0003,0.0003,0.0215
38,0.259,-0.2128,1.2372,7.2900e-05,0.0002,0.0003,0.0206
39,-0.2675,-0.2133,0.7650,7.2900e-05,0.0004,0.0003,0.0198
40,-0.2424,-0.2168,0.7526,6.5610e-05,0.0003,0.0003,0.019
41,-0.5104,-0.2168,0.5903,6.5610e-05,0.0002,0.0003,0.0182
42,0.4464,-0.1842,1.8925,6.5610e-05,0.0002,0.0003,0.0175
43,-0.2697,-0.1885,0.7423,6.5610e-05,0.0005,0.0003,0.0168
44,-0.1496,-0.1789,0.8480,6.5610e-05,0.0001,0.0003,0.0161
45,-0.0304,-0.1784,1.0486,6.5610e-05,0.0003,0.0003,0.0155
46,-0.2453,-0.1825,0.7744,6.5610e-05,0.0002,0.0003,0.0149
47,-0.2107,-0.2001,0.8652,6.5610e-05,0.0002,0.0003,0.0143
48,-0.1315,-0.191,0.8889,6.5610e-05,0.0002,0.0003,0.0137
49,-0.0551,-0.1717,0.9435,6.5610e-05,0.0002,0.0003,0.0132
50,0.1109,-0.152,1.0686,5.9049e-05,0.0002,0.0003,0.0127
51,0.6817,-0.1208,1.9307,5.9049e-05,0.0006,0.0003,0.0122
52,-0.5955,-0.1392,0.5321,5.9049e-05,0.0002,0.0003,0.0117
53,0.099,-0.1283,1.1374,5.9049e-05,0.0004,0.0003,0.0112
54,-0.289,-0.1185,0.7341,5.9049e-05,0.0002,0.0003,0.0108
55,0.2491,-0.1069,1.3403,5.9049e-05,0.0004,0.0003,0.0104
56,-0.064,-0.0941,0.9104,5.9049e-05,0.0003,0.0003,0.01
57,-0.1791,-0.1007,0.8381,5.9049e-05,0.0003,0.0003,0.0096
58,0.0967,-0.0925,1.0515,5.9049e-05,0.0006,0.0003,0.0092
59,0.0074,-0.0812,0.9413,5.9049e-05,0.0002,0.0003,0.0088
60,-0.3663,-0.0786,0.6432,5.3144e-05,0.0002,0.0003,0.0084
61,0.0136,-0.075,0.9507,5.3144e-05,0.0005,0.0003,0.0081
62,-0.1291,-0.0709,0.8698,5.3144e-05,0.0002,0.0003,0.0078
63,-0.0228,-0.0821,0.9362,5.3144e-05,0.0002,0.0003,0.0075
64,-0.0944,-0.0752,0.9174,5.3144e-05,0.0003,0.0003,0.0072
65,-0.3162,-0.0782,0.7723,5.3144e-05,0.0003,0.0003,0.0069
66,0.1585,-0.0514,1.0953,5.3144e-05,0.0002,0.0003,0.0066
67,-0.0348,-0.0707,0.8836,5.3144e-05,0.0018,0.0004,0.0063
68,-0.0693,-0.0626,1.0033,5.3144e-05,0.0002,0.0003,0.006
69,-0.1742,-0.0636,0.8930,5.3144e-05,0.0002,0.0003,0.0058
70,0.089,-0.0589,1.0407,4.7830e-05,0.0002,0.0003,0.0056
71,-0.2452,-0.0589,0.7069,4.7830e-05,0.0004,0.0003,0.0054
72,0.0551,-0.0482,1.0566,4.7830e-05,0.0002,0.0003,0.0052
73,-0.3235,-0.0559,0.7063,4.7830e-05,0.0001,0.0003,0.005
74,0.0346,-0.0523,1.0105,4.7830e-05,0.0002,0.0003,0.005
75,-0.0676,-0.0595,0.9211,4.7830e-05,0.0003,0.0003,0.005
76,-0.3953,-0.1025,0.4630,4.7830e-05,0.0004,0.0003,0.005
77,0.0395,-0.0771,1.0722,4.7830e-05,0.0003,0.0003,0.005
78,-0.1532,-0.0872,0.8826,4.7830e-05,0.0001,0.0003,0.005
79,0.0127,-0.0752,1.0592,4.7830e-05,0.0003,0.0003,0.005
80,0.0614,-0.0827,1.0635,4.3047e-05,0.0001,0.0003,0.005
81,-0.0759,-0.0831,0.8797,4.3047e-05,0.0001,0.0003,0.005
82,-0.0959,-0.0798,0.9243,4.3047e-05,0.0002,0.0003,0.005
83,0.7434,-0.0539,1.8585,4.3047e-05,0.0004,0.0003,0.005
84,-0.0627,-0.0567,0.9533,4.3047e-05,0.0004,0.0003,0.005
85,-0.1733,-0.049,0.8088,4.3047e-05,0.0005,0.0003,0.005
86,-0.1799,-0.0568,0.8091,4.3047e-05,0.0001,0.0003,0.005
87,-0.3961,-0.0674,0.6759,4.3047e-05,0.0001,0.0003,0.005
88,-0.2929,-0.0782,0.7675,4.3047e-05,0.0003,0.0003,0.005
89,-0.3613,-0.0889,0.6904,4.3047e-05,0.0002,0.0003,0.005
90,0.0936,-0.0725,1.0313,3.8742e-05,0.0003,0.0003,0.005
91,-0.407,-0.0952,0.6445,3.8742e-05,0.0003,0.0003,0.005
92,-0.116,-0.0984,0.8673,3.8742e-05,0.0002,0.0002,0.005
93,1.1589,-0.0493,3.2360,3.8742e-05,0.0003,0.0002,0.005
94,-0.0926,-0.046,0.8955,3.8742e-05,0.0004,0.0003,0.005
95,-0.0554,-0.0518,0.9475,3.8742e-05,0.0007,0.0003,0.005
96,0.1386,-0.0364,1.0367,3.8742e-05,0.0001,0.0003,0.005
97,-0.1161,-0.0433,0.6022,3.8742e-05,0.0002,0.0003,0.005
98,0.0851,-0.0269,0.9865,3.8742e-05,0.0002,0.0003,0.005
99,0.3813,-0.0131,1.3184,3.8742e-05,0.0001,0.0003,0.005
100,0.3184,0.0024,1.4393,3.4868e-05,0.0002,0.0003,0.005
101,-0.1033,0.0141,0.8765,3.4868e-05,0.0002,0.0003,0.005
